Filename,Company,Year,ROA_CHANGE,FIRM_SIZE,BD_NEGATIVE,BD_POSITIVE,MDA_NEGATIVE,MDA_POSITIVE,BD_SENTIMENT,MDA_SENTIMENT,BD_BERTOPIC,BD_LDA,MDA_BERTOPIC,MDA_LDA,BD_FOG,MDA_FOG,BD_SIMILARITY,MDA_SIMILARITY,ADDITION,SUCCESSION,REMOVAL,INVOLUNTARY,AMBIGUOUS,VOLUNTARY,INTERNAL,EXTERNAL,UNCLASSIFIED
ARATANA_THERAPEUTICS_INC-2016-3-15.xml.txt,"ARATANA THERAPEUTICS, INC.",2016,7.0917,84,-2.31228E-05,0.000316682,0.000968697,0.000670975,-0.016593942,-0.086639065,1,0.428571429,1,0.818181818,0.31,-0.28,0.853890489,0.797344624,1,0,0,0,0,0,0,1,0
ARATANA_THERAPEUTICS_INC-2017-3-14.xml.txt,"ARATANA THERAPEUTICS, INC.",2017,-6.5602,84,7.98097E-05,0.000523414,0.001269667,0.001752037,-0.021756499,-0.01850841,1,0.666666667,1,0.666666667,0.35,-0.07,0.909005091,0.896134755,0,0,0,0,0,0,0,0,0
ARATANA_THERAPEUTICS_INC-2018-3-14.xml.txt,"ARATANA THERAPEUTICS, INC.",2018,10.2498,83,-3.51034E-06,0.000838543,0.000796816,-0.000548441,0.027213012,-0.062269697,1,0.428571429,1,0.666666667,-0.78,-0.02,0.912450317,0.902821297,0,0,0,0,0,0,0,0,0
ARATANA_THERAPEUTICS_INC-2019-3-13.xml.txt,"ARATANA THERAPEUTICS, INC.",2019,5.8912,0,-0.000789422,0.000920908,-0.002167466,-0.000172914,0.003484855,-0.044502201,1,0.428571429,1,0.666666667,-0.2,0.14,0.926316912,0.92866521,0,1,0,1,1,1,1,1,0
Arcus_Biosciences_Inc-2020-3-5.xml.txt,"Arcus Biosciences, Inc.",2020,7.3054,236,0.002205358,0.000382565,-0.00043323,0.000930123,-0.009289506,0.045353982,1,0.538461538,0,0.666666667,1.31,0.24,0.77126966,0.872960974,1,1,0,0,1,0,1,1,1
ARTELO_BIOSCIENCES_INC-2016-12-1.xml.txt,"ARTELO BIOSCIENCES, INC.",2016,-120.0106,0,0.001002741,-0.004943556,0.005851342,-8.71384E-06,0.008424908,0.103658537,0,0.333333333,0,0.818181818,2.21,1.91,0.853444898,0.71293384,0,0,0,0,0,0,0,0,0
ARTELO_BIOSCIENCES_INC-2017-11-29.xml.txt,"ARTELO BIOSCIENCES, INC.",2017,129.6426,2,0.013372239,0.001509216,-0.00176112,0.001354437,0.023197115,0.053318208,0,0.052631579,1,0.818181818,1.14,0.44,0.202356973,0.761235997,1,0,0,0,0,0,0,1,0
ARTELO_BIOSCIENCES_INC-2018-11-29.xml.txt,"ARTELO BIOSCIENCES, INC.",2018,-251.2453,2,-0.012512842,-0.000421359,-0.000297759,0.00164632,0.087210124,-0.043340381,0,0.25,1,0.818181818,0.11,-0.44,0.415799254,0.763922363,0,0,0,0,0,0,0,0,0
ARTELO_BIOSCIENCES_INC-2019-11-25.xml.txt,"ARTELO BIOSCIENCES, INC.",2019,243.2857,1,0.006228442,0.000169115,-0.007690566,-0.000297793,0.013848343,0.047474747,0,0.25,1,0.666666667,0.82,0.47,0.754201802,0.641616421,0,1,1,0,1,1,0,1,0
ARTELO_BIOSCIENCES_INC-2020-11-4.xml.txt,"ARTELO BIOSCIENCES, INC.",2020,4.3723,3,0.000868533,-0.000925172,-0.001229708,-0.000601119,-0.026193802,-0.073901809,0,0.818181818,1,0.818181818,-0.17,-0.97,0.955806632,0.696530942,1,0,0,0,0,0,0,1,0
ARVINAS_INC-2020-3-16.xml.txt,"ARVINAS, INC.",2020,-1.9666,179,-0.000405057,9.71282E-05,0.00015373,-0.00062311,-0.001613115,0.025682667,1,0.818181818,1,0.538461538,-0.16,0.11,0.983129279,0.837950234,1,0,0,0,0,0,0,1,0
Asterias_Biotherapeutics_Inc-2015-3-11.xml.txt,"Asterias Biotherapeutics, Inc.",2015,0.4491,7,-0.000140628,-0.000265376,-0.001086987,-0.000300134,0.014063456,-0.066358853,0,0.428571429,1,0.428571429,0.39,1.9,0.736440994,0.688280358,1,0,1,0,1,0,1,1,0
Asterias_Biotherapeutics_Inc-2016-3-29.xml.txt,"Asterias Biotherapeutics, Inc.",2016,0.6683,6,0.000565818,0.000963835,0.000611048,0.000214196,-0.017889088,0.065060995,1,0.538461538,1,0.428571429,0.44,-4.83,0.929541636,0.795223966,1,1,0,0,1,0,0,1,1
Asterias_Biotherapeutics_Inc-2017-3-28.xml.txt,"Asterias Biotherapeutics, Inc.",2017,-0.0223,9,0.000427334,-0.001126676,0.001263507,0.000474247,0.024869782,0.017746229,1,0.666666667,1,0.428571429,-0.12,-1.15,0.920985968,0.742049894,1,1,1,0,0,1,0,1,1
Asterias_Biotherapeutics_Inc-2018-3-15.xml.txt,"Asterias Biotherapeutics, Inc.",2018,0.417,8,0.001029095,-0.000802394,0.000278599,-5.23604E-05,-0.055500922,-0.145408163,1,0.538461538,1,0.666666667,-1.44,-1.38,0.967094387,0.926213181,0,0,1,0,1,0,0,0,0
Atara_Biotherapeutics_Inc-2016-3-4.xml.txt,"Atara Biotherapeutics, Inc.",2016,-0.2973,96,-0.001327586,-0.000407784,0.000358287,0.001849144,0.020280883,0.070314721,0,0.333333333,1,0.666666667,-0.35,-0.46,0.651990937,0.699973534,0,0,0,0,0,0,0,0,0
Atara_Biotherapeutics_Inc-2017-3-9.xml.txt,"Atara Biotherapeutics, Inc.",2017,-14.293,185,-0.000544344,0.001269292,0.000362853,-0.00078622,-0.000756264,-0.06649505,1,0.333333333,1,0.428571429,0.42,-0.74,0.733708033,0.719219751,1,0,0,0,0,0,0,1,1
Atara_Biotherapeutics_Inc-2018-2-27.xml.txt,"Atara Biotherapeutics, Inc.",2018,-17.081,311,0.000555029,-6.42736E-05,-0.000124407,-0.001029666,0.028982899,-0.013674332,1,0.538461538,0,0.666666667,0.05,-0.25,0.738451157,0.734202694,1,0,1,0,0,1,0,1,1
Atara_Biotherapeutics_Inc-2019-2-26.xml.txt,"Atara Biotherapeutics, Inc.",2019,-1.6821,393,0.001206521,0.001992106,-0.000111646,0.001108351,-0.041630769,0.003737726,1,0.538461538,0,0.666666667,0.61,0.38,0.727618996,0.768343665,0,0,1,0,1,1,0,0,1
ATOSSA_THERAPEUTICS_INC-2015-3-30.xml.txt,"ATOSSA THERAPEUTICS, INC.",2015,-36.9398,8,-0.000803246,-0.000736831,-0.005293173,-0.000349086,-0.000621264,0.000740976,1,0.818181818,1,0.25,1.02,0.85,0.926907121,0.678478681,0,0,1,0,0,1,0,0,1
ATOSSA_THERAPEUTICS_INC-2016-3-30.xml.txt,"ATOSSA THERAPEUTICS, INC.",2016,1.3273,4,0.00515318,0.001688976,0.006214818,-0.000712205,-0.041070732,-0.024277141,1,0.176470588,1,0.25,-0.34,0.44,0.643059278,0.740423693,0,0,1,0,0,1,0,0,0
ATOSSA_THERAPEUTICS_INC-2017-3-21.xml.txt,"ATOSSA THERAPEUTICS, INC.",2017,14.2451,3,0.00016113,-0.000648233,-0.003760018,-0.000474346,-0.023263164,-0.131029987,1,0.666666667,1,0.818181818,0.39,0.03,0.833365498,0.844671687,0,0,0,0,0,0,0,0,0
ATOSSA_THERAPEUTICS_INC-2018-3-8.xml.txt,"ATOSSA THERAPEUTICS, INC.",2018,1.1141,4,-0.002015327,-0.000124345,-0.005176618,-0.000232964,0.046073654,0.164056743,1,0.538461538,1,0.333333333,-0.71,-1.27,0.881921606,0.611063225,1,0,0,0,0,0,0,1,0
ATOSSA_THERAPEUTICS_INC-2019-3-28.xml.txt,"ATOSSA THERAPEUTICS, INC.",2019,-10.4619,4,-0.002451539,0.001125053,-0.003601209,0.000936116,0.011471126,0.060607196,1,0.538461538,1,0.428571429,-0.05,0.71,0.905188391,0.756103744,0,0,0,0,0,0,0,0,0
ATOSSA_THERAPEUTICS_INC-2020-3-26.xml.txt,"ATOSSA THERAPEUTICS, INC.",2020,50.4917,6,-0.002114733,4.01267E-05,0.001938994,0.001381045,0.010393955,-0.039299398,1,0.818181818,1,0.538461538,-0.59,0.92,0.930012973,0.808124586,1,0,0,0,0,0,0,1,0
aTYR_PHARMA_INC-2017-3-16.xml.txt,aTYR PHARMA INC,2017,0.1198,8900,0.000323727,0.000994477,6.19403E-05,0.0008248,-0.011427425,0.04440342,1,0.666666667,1,0.666666667,0.45,-0.29,0.88251671,0.822834342,1,0,1,0,1,1,0,1,1
aTYR_PHARMA_INC-2018-3-20.xml.txt,aTYR PHARMA INC,2018,-0.4268,0,-0.001505871,8.65388E-05,-0.000611945,-0.00037739,-0.010806787,-0.047679683,1,0.25,0,0.818181818,0.63,0.32,0.56001567,0.678183577,1,1,1,0,1,1,1,1,1
aTYR_PHARMA_INC-2019-3-26.xml.txt,aTYR PHARMA INC,2019,-0.0404,0,-0.000989399,-0.000282138,0.00022364,-0.000278749,0.036268191,-0.057081109,0.111111111,0.333333333,0,0.666666667,-0.05,-0.62,0.620778042,0.890930097,1,0,0,0,0,0,0,1,0
aTYR_PHARMA_INC-2020-3-26.xml.txt,aTYR PHARMA INC,2020,0.0077,393,0.000350722,0.000184526,0.002094488,0.001822569,0.019130524,0.048309179,1,0.666666667,1,0.666666667,-0.6,0.26,0.830456406,0.849924644,1,0,1,0,0,1,0,1,1
Audentes_Therapeutics_Inc-2018-3-9.xml.txt,"Audentes Therapeutics, Inc.",2018,0,0,-0.000229539,-0.001390792,0.000471326,0.000491441,-0.018849278,0.004486381,0,0.818181818,1,0.818181818,0.23,-0.42,0.911083538,0.819198074,1,0,1,0,1,0,1,0,0
Audentes_Therapeutics_Inc-2019-3-1.xml.txt,"Audentes Therapeutics, Inc.",2019,0,0,0.000157156,-0.001676966,-0.001007953,-8.90358E-05,0.001727814,0.020185209,0,0.538461538,1,0.666666667,0.54,0.5,0.869540106,0.861240762,1,1,0,0,1,0,0,1,0
Avalo_Therapeutics_Inc-2017-3-14.xml.txt,"Avalo Therapeutics, Inc.",2017,109.0301,38,-0.000443115,-0.000448112,-0.000306507,9.89663E-05,-0.00616456,0.025854144,1,0.666666667,0,0.666666667,0.54,0.7,0.911428359,0.881683726,1,1,0,0,1,1,1,1,1
Avalo_Therapeutics_Inc-2018-4-2.xml.txt,"Avalo Therapeutics, Inc.",2018,-52.2212,64,-0.001518338,0.000505302,-0.001172507,-0.000575182,0.040093267,0.017212054,0,0.538461538,0,0.333333333,-0.2,-0.58,0.698763323,0.744871137,1,1,0,0,1,0,1,1,0
Avalo_Therapeutics_Inc-2019-3-18.xml.txt,"Avalo Therapeutics, Inc.",2019,-5.8441,18,-0.004517226,-0.000992921,-0.000361109,-0.000655277,0.013995376,-0.028340956,1,0.428571429,1,0.428571429,-1,0.03,0.76851546,0.729677345,1,0,0,0,0,0,1,1,0
Avalo_Therapeutics_Inc-2020-3-11.xml.txt,"Avalo Therapeutics, Inc.",2020,-51.7004,30,-0.001148394,0.001014039,0.004916265,8.6655E-05,-0.007734905,-0.014360973,1,0.538461538,1,0.666666667,0.49,-0.14,0.820416354,0.664471046,1,1,1,0,0,1,1,1,0
Avalon_GloboCare_Corp-2017-3-28.xml.txt,Avalon GloboCare Corp.,2017,-21.262,7,0.004582928,0.004294374,0.002905999,0.000591272,0.072028986,-0.096100587,0,0,1,0.111111111,1.47,0.71,0.025364304,0.304847235,1,0,0,0,0,0,0,1,0
Avalon_GloboCare_Corp-2018-3-13.xml.txt,Avalon GloboCare Corp.,2018,-18.109,8,-0.001483549,0.000734906,-0.001246326,0.000814402,0.007071651,0.049298781,1,0.25,0,0.333333333,-3.49,-1.14,0.768005324,0.744749942,1,0,0,0,0,0,0,1,0
Avenir_Wellness_Solutions_Inc-2018-3-26.xml.txt,"Avenir Wellness Solutions, Inc.",2018,14.0698,0,0.005073438,-0.000136783,-0.001078526,0.002171444,-0.322730924,0.084320695,1,0.333333333,0,0.818181818,-0.4,-0.07,0.756389553,0.75392749,1,1,0,0,1,0,1,1,1
Avenir_Wellness_Solutions_Inc-2019-4-1.xml.txt,"Avenir Wellness Solutions, Inc.",2019,130.9912,19,-0.002198195,0.00038789,-0.003643721,-0.003478548,0.110238095,0.046776866,0,0.428571429,0,0.428571429,-0.03,-1.42,0.506719817,0.444826922,1,1,1,0,1,0,1,1,0
Avenir_Wellness_Solutions_Inc-2020-3-30.xml.txt,"Avenir Wellness Solutions, Inc.",2020,20.0094,31,0.013574631,-0.001023788,-0.001291184,-0.000931666,-0.096582181,0.014017382,0,0.052631579,1,0.818181818,0.09,-0.35,0.614701073,0.733473176,1,0,0,0,0,0,0,1,1
AVENUE_THERAPEUTICS_INC-2019-3-12.xml.txt,"AVENUE THERAPEUTICS, INC.",2019,-142.1262,4,-0.000407862,-0.000304619,-1.45918E-06,0.000224568,0.006695891,0.022900763,1,0.818181818,1,0.666666667,0.13,0.93,0.987836091,0.784953877,1,1,0,1,1,1,0,1,0
AVENUE_THERAPEUTICS_INC-2020-3-30.xml.txt,"AVENUE THERAPEUTICS, INC.",2020,190.6926,4,0.00047872,0.000302782,0.000259877,0.000669733,0.022516645,-0.00990099,1,0.666666667,1,0.666666667,-0.34,0.32,0.986536561,0.881726703,0,0,1,0,0,1,0,0,1
AveXis_Inc-2017-3-16.xml.txt,"AveXis, Inc.",2017,-10.5366,219,-0.000770637,0.001116013,-0.000335588,0.000485491,0.012745235,0.052053518,1,0.818181818,1,0.666666667,0.26,0.04,0.974730356,0.886606854,0,0,0,0,0,0,0,0,0
AveXis_Inc-2018-2-28.xml.txt,"AveXis, Inc.",2018,41.6004,0,-0.000573949,-0.000287556,0.000174214,0.0015606,0.016746304,0.02410274,1,0.818181818,1,0.428571429,0.06,0.93,0.949400711,0.606411491,0,0,0,0,0,0,0,0,0
AXIM_BIOTECHNOLOGIES_INC-2016-4-14.xml.txt,"AXIM BIOTECHNOLOGIES, INC.",2016,454.7188,6,0.000256983,0.001739579,-0.001126298,0.001282936,0.005857899,-0.125009966,1,0.818181818,1,0.333333333,0.59,-0.21,0.944935504,0.788583662,1,0,0,0,0,0,0,1,0
AXIM_BIOTECHNOLOGIES_INC-2017-4-17.xml.txt,"AXIM BIOTECHNOLOGIES, INC.",2017,65.2546,6,0.000206212,-0.001322182,0.000231643,-0.000487294,-0.014021164,-0.109481669,1,0.818181818,1,0.818181818,2.44,1.04,0.941538007,0.830220787,1,0,0,0,0,0,0,1,0
AXIM_BIOTECHNOLOGIES_INC-2018-3-15.xml.txt,"AXIM BIOTECHNOLOGIES, INC.",2018,-38.9329,4,-0.001195054,-0.000889733,-0.001671048,-0.003284721,-0.017132867,-0.019582665,1,0.428571429,1,0.666666667,-2.28,-0.8,0.85247112,0.774962611,0,0,0,0,0,0,0,0,0
